algoritmo,quant_step,bitrate_kbps,rmse,snr_db
BR_control_no,64,649.0,0.01279741,76.68987656
BR_control_no,128,522.3333333333334,0.025330635,62.474484215000004
BR_control_no,256,388.16666666666663,0.050567600000000004,49.53009711
BR_control_no,512,272.66666666666663,0.099020285,36.38281613
BR_control_add_lost,64,655.3333333333333,0.012441250000000001,74.50746358500001
BR_control_add_lost,128,522.8333333333333,0.025332069999999998,62.42014795
BR_control_add_lost,256,387.8333333333333,0.049337955,48.257776344999996
BR_control_add_lost,512,273.0,0.099411795,36.513712604999995
BR_control_lost,64,649.6666666666666,0.012694625000000001,76.08503845999999
BR_control_lost,128,523.3333333333334,0.024920875,61.38077625
BR_control_lost,256,387.8333333333333,0.049540925,48.437864225
BR_control_lost,512,273.0,0.09738386,35.759180365
BR_control_conservative,64,654.6666666666667,1.35424715,
BR_control_conservative,128,523.3333333333334,0.02492279,61.405525084999994
BR_control_conservative,256,388.0,1.30176366,
BR_control_conservative,512,273.3333333333333,1.291299725,
